Available devices: 1
Current device: 0
Train Dataset size: 3550
Train Loader size: 73
Valid Dataset size: 5
Valid Loader size: 5
Data Loader successful!
/scratch/cc6858/ece57000/penv/lib/python3.8/site-packages/torch/utils/data/dataloader.py:563: UserWarning: This DataLoader will create 2 worker processes in total. Our suggested max number of worker in current system is 1, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(_create_warning_msg(
<epoch:  1, lr:1.000e-04> loss: 3.731e-01 
<epoch:  2, lr:1.000e-04> loss: 2.458e-01 
<epoch:  3, lr:1.000e-04> loss: 2.420e-01 
<epoch:  4, lr:1.000e-04> loss: 2.205e-01 
<epoch:  5, lr:1.000e-04> loss: 2.360e-01 
<epoch:  6, lr:1.000e-04> loss: 2.110e-01 
<epoch:  7, lr:1.000e-04> loss: 1.951e-01 
<epoch:  8, lr:1.000e-04> loss: 1.738e-01 
<epoch:  9, lr:1.000e-04> loss: 1.104e-01 
<epoch: 10, lr:1.000e-04> loss: 9.674e-02 
<epoch: 10, Average PSNR : 18.33dB

<epoch: 11, lr:1.000e-04> loss: 9.218e-02 
<epoch: 12, lr:1.000e-04> loss: 8.752e-02 
<epoch: 13, lr:1.000e-04> loss: 8.494e-02 
<epoch: 14, lr:1.000e-04> loss: 8.176e-02 
<epoch: 15, lr:1.000e-04> loss: 7.890e-02 
<epoch: 16, lr:1.000e-04> loss: 7.656e-02 
<epoch: 17, lr:1.000e-04> loss: 6.690e-02 
<epoch: 18, lr:1.000e-04> loss: 5.814e-02 
<epoch: 19, lr:1.000e-04> loss: 5.632e-02 
<epoch: 20, lr:1.000e-04> loss: 5.675e-02 
<epoch: 20, Average PSNR : 22.63dB

<epoch: 21, lr:1.000e-04> loss: 5.517e-02 
<epoch: 22, lr:1.000e-04> loss: 5.368e-02 
<epoch: 23, lr:1.000e-04> loss: 5.435e-02 
<epoch: 24, lr:1.000e-04> loss: 5.303e-02 
<epoch: 25, lr:1.000e-04> loss: 5.225e-02 
<epoch: 26, lr:1.000e-04> loss: 5.099e-02 
<epoch: 27, lr:1.000e-04> loss: 5.135e-02 
<epoch: 28, lr:1.000e-04> loss: 5.161e-02 
<epoch: 29, lr:1.000e-04> loss: 5.142e-02 
<epoch: 30, lr:1.000e-04> loss: 5.150e-02 
<epoch: 30, Average PSNR : 23.19dB

<epoch: 31, lr:1.000e-04> loss: 5.015e-02 
<epoch: 32, lr:1.000e-04> loss: 4.873e-02 
<epoch: 33, lr:1.000e-04> loss: 5.058e-02 
<epoch: 34, lr:1.000e-04> loss: 4.906e-02 
<epoch: 35, lr:1.000e-04> loss: 4.892e-02 
<epoch: 36, lr:1.000e-04> loss: 4.831e-02 
<epoch: 37, lr:1.000e-04> loss: 4.835e-02 
<epoch: 38, lr:1.000e-04> loss: 4.768e-02 
<epoch: 39, lr:1.000e-04> loss: 4.695e-02 
<epoch: 40, lr:1.000e-04> loss: 4.662e-02 
<epoch: 40, Average PSNR : 24.87dB

<epoch: 41, lr:1.000e-04> loss: 4.627e-02 
<epoch: 42, lr:1.000e-04> loss: 4.642e-02 
<epoch: 43, lr:1.000e-04> loss: 4.520e-02 
<epoch: 44, lr:1.000e-04> loss: 4.552e-02 
<epoch: 45, lr:1.000e-04> loss: 4.544e-02 
<epoch: 46, lr:1.000e-04> loss: 4.522e-02 
<epoch: 47, lr:1.000e-04> loss: 4.550e-02 
<epoch: 48, lr:1.000e-04> loss: 4.479e-02 
<epoch: 49, lr:1.000e-04> loss: 4.597e-02 
<epoch: 50, lr:1.000e-04> loss: 4.453e-02 
<epoch: 50, Average PSNR : 26.20dB

<epoch: 51, lr:1.000e-04> loss: 4.543e-02 
<epoch: 52, lr:1.000e-04> loss: 4.375e-02 
